,Unnamed: 0.1,Unnamed: 0,date,open,close,high,low,volumme
279,136.0,,2024-08-12 00:00:00,10.75,10.75,10.75,10.75,269
280,137.0,,2024-08-13 00:00:00,10.619,10.619,10.619,10.619,0
281,138.0,,2024-09-02 00:00:00,10.427,10.399,10.427,10.39,374
282,139.0,,2024-09-03 00:00:00,10.135,10.135,10.135,10.135,0
283,140.0,,2024-09-16 00:00:00,10.937,10.937,10.937,10.937,0
284,141.0,,2024-09-18 00:00:00,11.03,11.03,11.03,11.03,0
285,142.0,,2024-09-20 00:00:00,11.092,11.05,11.092,11.05,46
0,,,2023-06-22 00:00:00,7.113,7.113,7.113,7.113,0
1,,,2023-06-28 00:00:00,7.302,7.302,7.302,7.302,0
2,,,2023-07-04 00:00:00,8.206,8.206,8.206,8.206,0
3,,,2023-07-06 00:00:00,8.074,8.074,8.074,8.074,0
4,,,2023-07-10 00:00:00,8.823,8.823,8.823,8.823,350
5,,,2023-07-11 00:00:00,9.06,9.06,9.06,9.06,350
6,,,2023-07-12 00:00:00,9.289,9.368,9.368,9.289,1000
7,,,2023-07-13 00:00:00,9.288,9.288,9.288,9.288,0
8,,,2023-07-17 00:00:00,9.98,9.98,9.98,9.98,51
9,,,2023-07-18 00:00:00,9.73,9.35,9.73,9.35,1108
10,,,2023-07-19 00:00:00,9.825,9.825,9.825,9.825,44
11,,,2023-07-20 00:00:00,9.736,9.53,9.736,9.53,149
12,,,2023-07-21 00:00:00,9.262,9.03,9.262,9.03,413
13,,,2023-07-24 00:00:00,9.0,9.0,9.0,9.0,0
14,,,2023-07-26 00:00:00,9.296,9.296,9.296,9.296,100
15,,,2023-07-27 00:00:00,9.514,9.514,9.514,9.514,0
16,,,2023-07-31 00:00:00,10.38,9.482,10.38,9.437,506
17,,,2023-08-01 00:00:00,9.06,8.995,9.06,8.995,200
18,,,2023-08-02 00:00:00,9.274,8.96,9.274,8.96,150
19,,,2023-08-03 00:00:00,8.993,8.993,8.993,8.993,4
20,,,2023-08-04 00:00:00,8.881,8.81,8.881,8.81,145
21,,,2023-08-07 00:00:00,8.63,8.63,8.63,8.63,0
22,,,2023-08-10 00:00:00,8.419,8.263,8.419,8.263,107
23,,,2023-08-11 00:00:00,8.107,8.107,8.107,8.107,5
24,,,2023-08-16 00:00:00,8.0,7.809,8.0,7.762,459
25,,,2023-08-17 00:00:00,7.319,7.306,7.319,7.306,160
26,,,2023-08-18 00:00:00,7.43,7.165,7.43,7.165,428
27,,,2023-08-21 00:00:00,6.884,6.8,6.884,6.8,82
28,,,2023-08-22 00:00:00,6.7,6.7,6.7,6.7,0
29,,,2023-08-24 00:00:00,7.004,7.004,7.004,7.004,0
30,,,2023-08-30 00:00:00,7.452,7.452,7.452,7.452,0
31,,,2023-09-01 00:00:00,7.074,7.05,7.074,6.988,495
32,,,2023-09-04 00:00:00,7.08,7.0,7.08,7.0,664
33,,,2023-09-05 00:00:00,6.935,6.929,6.935,6.929,110
34,,,2023-09-06 00:00:00,6.88,6.88,6.88,6.88,2000
35,,,2023-09-07 00:00:00,6.605,6.605,6.605,6.605,0
36,,,2023-09-11 00:00:00,6.723,6.5,6.723,6.5,209
37,,,2023-09-12 00:00:00,6.575,6.575,6.575,6.575,0
38,,,2023-09-18 00:00:00,6.742,6.742,6.742,6.742,2
39,,,2023-09-19 00:00:00,6.4,6.4,6.4,6.4,0
40,,,2023-09-21 00:00:00,6.2,6.2,6.2,6.2,0
41,,,2023-09-25 00:00:00,5.905,5.861,5.905,5.861,150
42,,,2023-09-26 00:00:00,5.94,5.94,5.94,5.94,84
43,,,2023-09-27 00:00:00,5.906,5.949,5.949,5.906,11
44,,,2023-09-28 00:00:00,5.9,5.9,5.9,5.9,84
45,,,2023-09-29 00:00:00,6.082,6.082,6.082,6.082,80
46,,,2023-10-03 00:00:00,5.8,5.8,5.8,5.8,0
47,,,2023-10-10 00:00:00,6.073,6.073,6.073,6.073,0
48,,,2023-10-12 00:00:00,5.8,5.8,5.8,5.8,0
49,,,2023-10-18 00:00:00,6.094,6.094,6.094,6.094,1
50,,,2023-10-19 00:00:00,5.723,5.723,5.723,5.723,0
51,,,2023-10-23 00:00:00,5.728,5.815,5.817,5.728,2000
52,,,2023-10-24 00:00:00,6.85,6.85,6.85,6.85,0
53,,,2023-10-26 00:00:00,6.45,6.45,6.45,6.45,70
54,,,2023-10-27 00:00:00,6.314,6.314,6.314,6.314,234
55,,,2023-11-13 00:00:00,6.309,6.309,6.309,6.309,0
56,,,2023-11-28 00:00:00,6.65,6.898,6.968,6.65,12499
57,,,2023-11-29 00:00:00,7.27,7.27,7.27,7.27,0
58,,,2023-12-04 00:00:00,8.509,8.509,8.509,8.509,0
59,,,2023-12-27 00:00:00,11.289,12.097,12.27,11.289,4370
60,,,2023-12-28 00:00:00,12.961,12.961,12.961,12.961,0
61,,,2024-01-02 00:00:00,11.457,11.457,11.457,11.457,0
62,,,2024-01-08 00:00:00,10.022,10.022,10.022,10.022,0
63,,,2024-01-09 00:00:00,10.63,10.63,10.63,10.63,0
64,,,2024-01-16 00:00:00,8.489,8.489,8.489,8.489,0
65,,,2024-01-22 00:00:00,7.683,7.471,7.691,7.409,1970
66,,,2024-01-23 00:00:00,7.471,7.471,7.471,7.471,0
67,,,2024-01-24 00:00:00,7.44,7.489,7.492,7.44,4255
68,,,2024-01-25 00:00:00,7.322,7.341,7.341,7.322,270
69,,,2024-01-26 00:00:00,7.504,7.504,7.504,7.504,0
70,,,2024-01-30 00:00:00,8.577,8.568,8.577,8.568,355
71,,,2024-01-31 00:00:00,8.134,8.134,8.134,8.134,0
72,,,2024-02-05 00:00:00,8.025,8.025,8.025,8.025,0
73,,,2024-02-07 00:00:00,7.718,7.718,7.718,7.718,0
74,,,2024-02-09 00:00:00,8.599,9.38,9.487,8.599,7552
75,,,2024-02-12 00:00:00,10.77,10.77,10.77,10.77,0
76,,,2024-02-14 00:00:00,9.701,11.603,11.603,9.698,3405
77,,,2024-02-15 00:00:00,12.035,12.035,12.035,12.035,0
78,,,2024-02-19 00:00:00,11.303,11.303,11.303,11.303,0
79,,,2024-02-21 00:00:00,10.408,10.408,10.408,10.408,250
80,,,2024-02-22 00:00:00,10.644,10.644,10.644,10.644,0
81,,,2024-02-26 00:00:00,10.111,11.059,11.059,10.111,600
82,,,2024-02-27 00:00:00,12.291,12.197,12.291,12.197,845
83,,,2024-02-28 00:00:00,12.301,12.301,12.301,12.301,250
84,,,2024-02-29 00:00:00,12.6,11.9,12.6,11.9,20
85,,,2024-03-01 00:00:00,10.825,10.917,10.917,10.825,264
86,,,2024-03-04 00:00:00,11.816,11.429,11.843,11.429,1007
87,,,2024-03-05 00:00:00,11.148,11.108,11.148,11.108,300
88,,,2024-03-06 00:00:00,10.271,10.271,10.271,10.271,0
89,,,2024-03-12 00:00:00,10.894,10.894,10.894,10.894,0
